year,demand,supply_forecast,wgi,interpretation,metric
2027,85000.0,1091525.0,0.0779,sufficient,ISM-Driven Workforce Demand
2030,1500000.0,947871.5,1.5825,unmet demand,Total Semiconductor Workforce Demand
