country_iso3,year,country_name,lending_rate_pct,lending_imputed,corporate_tax_rate_pct,corp_tax_imputed,total_tax_rate_pct,total_tax_imputed,electricity_kwh_per_capita,electricity_imputed,lending_rate_pct_z,corporate_tax_rate_pct_z,total_tax_rate_pct_z,electricity_kwh_per_capita_z
CHN,2015,China,4.35,False,25.0,False,68.156016562584,False,4017.07781948893,False,-0.09769302189613821,-0.5025840097752534,2.675911527381175,-0.6403911727152434
CHN,2016,China,4.35,False,25.0,False,66.480573991058,False,4237.54530584599,False,-0.09769302189613821,-0.5025840097752534,2.488038303088156,-0.5825465856190476
CHN,2017,China,4.35,False,25.0,False,63.760451488348,False,4571.04242541442,False,-0.09769302189613821,-0.5025840097752534,2.183021471272389,-0.4950461405513173
CHN,2018,China,4.35,False,25.0,False,60.576511993526,False,4842.2067923237,False,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.42390009040918775
CHN,2019,China,4.35,False,25.0,False,60.576511993526,True,5082.38779040238,False,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.3608832216101638
CHN,2020,China,4.35,False,25.0,False,60.576511993526,True,5261.94103890582,False,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.31377340195793124
CHN,2021,China,4.35,False,25.0,False,60.576511993526,True,5847.80226004701,False,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.16005957779022537
CHN,2022,China,4.35,False,25.0,False,60.576511993526,True,6112.13553560996,False,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.09070581759013702
CHN,2023,China,4.35,False,25.0,False,60.576511993526,True,6523.71926193193,False,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,0.01728239916691239
CHN,2024,China,4.35,False,25.0,True,60.576511993526,True,6523.71926193193,True,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,0.01728239916691239
DEU,2015,Germany,2.09,False,30.175,False,48.852466131233,False,7032.02144106578,False,-0.9642341413833404,0.6906705115969327,0.5113370313794079,0.15064687008247854
DEU,2016,Germany,1.8783333333333332,False,30.175,False,48.89650602201,False,6972.36527283762,False,-1.0453924910698262,0.6906705115969327,0.5162753780696507,0.1349947370812869
DEU,2017,Germany,1.7441666666666666,False,30.175,False,48.988972044455,False,6947.26382648139,False,-1.096835382012835,0.6906705115969327,0.5266439159530288,0.12840880994987378
DEU,2018,Germany,1.6341666666666665,False,29.825,False,48.400402159109,False,6815.82136213371,False,-1.139012162164867,0.6099673072529198,0.4606455200897729,0.0939219329834256
DEU,2019,Germany,1.5433333333333332,False,29.897059,False,48.400402159109,True,6580.29256436905,False,-1.173839957896469,0.6265827135438488,0.4606455200897729,0.03212567322158836
DEU,2020,Germany,1.59,False,29.897059,False,48.400402159109,True,6367.10502947955,False,-1.1559467784380313,0.6265827135438488,0.4606455200897729,-0.02380885541800883
DEU,2021,Germany,1.5316666666666665,False,29.937781,False,48.400402159109,True,6582.54587433797,False,-1.1783132527610785,0.6359724160789832,0.4606455200897729,0.032716879602654764
DEU,2022,Germany,2.2708333333333335,False,29.83,False,48.400402159109,True,6316.27571164921,False,-0.8948980709818938,0.6111202101721197,0.4606455200897729,-0.03714506635260194
DEU,2023,Germany,4.910833333333334,False,29.941,False,48.400402159109,True,5947.27119952649,False,0.11734465266687352,0.6367146549783639,0.4606455200897729,-0.1339616717989153
DEU,2024,Germany,5.163333333333333,False,29.941,True,48.400402159109,True,6109.08541252395,False,0.21415953437949217,0.6367146549783639,0.4606455200897729,-0.09150608575401982
IND,2015,India,10.0083333333333,False,34.61,False,55.687902755447,False,841.085387869102,False,2.0718549874394334,1.7132954009274917,1.2778184016552134,-1.4736839809353017
