country_iso3,year,country_name,lending_rate_pct,lending_imputed,corporate_tax_rate_pct,corp_tax_imputed,total_tax_rate_pct,total_tax_imputed,electricity_kwh_per_capita,electricity_imputed
CHN,2015,China,4.35,False,25.0,False,68.156016562584,False,4017.07781948893,False
CHN,2016,China,4.35,False,25.0,False,66.480573991058,False,4237.54530584599,False
CHN,2017,China,4.35,False,25.0,False,63.760451488348,False,4571.04242541442,False
CHN,2018,China,4.35,False,25.0,False,60.576511993526,False,4842.2067923237,False
CHN,2019,China,4.35,False,25.0,False,60.576511993526,True,5082.38779040238,False
CHN,2020,China,4.35,False,25.0,False,60.576511993526,True,5261.94103890582,False
CHN,2021,China,4.35,False,25.0,False,60.576511993526,True,5847.80226004701,False
CHN,2022,China,4.35,False,25.0,False,60.576511993526,True,6112.13553560996,False
CHN,2023,China,4.35,False,25.0,False,60.576511993526,True,6523.71926193193,False
CHN,2024,China,4.35,False,25.0,True,60.576511993526,True,6523.71926193193,True
DEU,2015,Germany,2.09,False,30.175,False,48.852466131233,False,7032.02144106578,False
DEU,2016,Germany,1.8783333333333332,False,30.175,False,48.89650602201,False,6972.36527283762,False
DEU,2017,Germany,1.7441666666666666,False,30.175,False,48.988972044455,False,6947.26382648139,False
DEU,2018,Germany,1.6341666666666665,False,29.825,False,48.400402159109,False,6815.82136213371,False
DEU,2019,Germany,1.5433333333333332,False,29.897059,False,48.400402159109,True,6580.29256436905,False
DEU,2020,Germany,1.59,False,29.897059,False,48.400402159109,True,6367.10502947955,False
DEU,2021,Germany,1.5316666666666665,False,29.937781,False,48.400402159109,True,6582.54587433797,False
DEU,2022,Germany,2.2708333333333335,False,29.83,False,48.400402159109,True,6316.27571164921,False
DEU,2023,Germany,4.910833333333334,False,29.941,False,48.400402159109,True,5947.27119952649,False
DEU,2024,Germany,5.163333333333333,False,29.941,True,48.400402159109,True,6109.08541252395,False
IND,2015,India,10.0083333333333,False,34.61,False,55.687902755447,False,841.085387869102,False
IND,2016,India,9.6725,False,34.61,False,56.167215173705,False,879.945696796945,False
IND,2017,India,9.50833333333333,False,34.61,False,52.030353594498,False,918.313686962613,False
IND,2018,India,9.45416666666667,False,35.0,False,46.209958799022,False,970.834176233242,False
IND,2019,India,9.46625,False,30.0,False,46.209958799022,True,988.272169542114,False
IND,2020,India,9.15,False,30.0,False,46.209958799022,True,901.399579163301,False
IND,2021,India,8.69833333333333,False,30.0,False,46.209958799022,True,963.363913685612,False
IND,2022,India,8.56714285714286,False,30.0,False,46.209958799022,True,1085.33520920382,False
IND,2023,India,8.56714285714286,True,30.0,False,46.209958799022,True,1181.63126786529,False
IND,2024,India,8.56714285714286,True,30.0,True,46.209958799022,True,1181.63126786529,True
JPN,2015,Japan,1.14283333333333,False,32.11,False,48.84515846279,False,8007.09448564979,False
JPN,2016,Japan,1.04475,False,29.97,False,47.372004092986,False,8066.01561270421,False
JPN,2017,Japan,0.994,False,29.97,False,46.744975041614,False,8190.60107740289,False
