country_iso3,country,year,corporate_tax_rate_pct,data_source,retrieval_date
DEU,Germany,2008,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2009,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2010,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2011,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2012,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2013,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2014,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2015,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2016,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2017,30.175,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2018,29.825,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2019,29.897059,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2020,29.897059,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2021,29.937781,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2022,29.83,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
DEU,Germany,2023,29.941,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1980,60.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1981,59.1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1982,56.4,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1983,56.4,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1984,55.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1985,55.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1986,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1987,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1988,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1989,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1990,50.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1991,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1992,45.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1993,45.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1994,45.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1995,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1996,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1997,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1998,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,1999,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2000,38.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2001,39.55,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2002,35.7,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2003,36.75,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2004,35.875,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2005,36.5935,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2006,33.66,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2007,33.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2008,33.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2009,33.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2010,33.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2011,32.44,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2012,32.45,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2013,33.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2014,33.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2015,34.61,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2016,34.61,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2017,34.61,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2018,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2019,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2020,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2021,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2022,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
IND,India,2023,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1990,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1991,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1992,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1993,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1994,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1995,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1996,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1997,49.98,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1998,46.36,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,1999,48.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2000,40.87,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2001,40.87,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2002,40.87,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2003,40.87,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2004,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2005,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2006,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2007,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2008,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2009,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2010,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2011,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2012,39.54,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2013,36.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2014,36.99,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2015,32.11,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2016,29.97,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2017,29.97,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2018,29.74,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2019,29.74,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
