iso_2,iso_3,continent,country,year,rate,gdp,oecd,eu27,gseven,gtwenty,brics,data_source,retrieval_date,notes
CN,CHN,AS,China,2010,25.0,7554.2578125,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2011,25.0,8275.7587890625,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2012,25.0,8926.2021484375,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2013,25.0,9619.64453125,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2014,25.0,10333.857421875,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2015,25.0,11061.552734375,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2016,25.0,11819.12890625,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2017,25.0,12640.1083984375,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2018,25.0,13493.5205078125,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2019,25.0,14317.779296875,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2020,25.0,14634.6170756064,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2021,25.0,15821.0220871636,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2022,25.0,16453.8629706502,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2023,25.0,17325.9177080946,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1970,,232.061737060547,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1971,,248.4453125,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1972,,257.911071777344,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1973,,277.924957275391,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1974,,284.345031738281,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1975,,309.139923095703,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1976,,304.286437988281,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
