country_iso3,country,year,indicator_code,indicator,value,data_source,retrieval_date
SGP,Singapore,2014,FR.INR.LEND,lending_rate_pct,5.35,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2024,FR.INR.LEND,lending_rate_pct,4.51416666666667,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2023,FR.INR.LEND,lending_rate_pct,4.28583333333333,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2022,FR.INR.LEND,lending_rate_pct,3.13833333333333,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2021,FR.INR.LEND,lending_rate_pct,3.06,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2020,FR.INR.LEND,lending_rate_pct,3.2925,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2019,FR.INR.LEND,lending_rate_pct,4.08416666666666,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2018,FR.INR.LEND,lending_rate_pct,4.14666666666666,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2017,FR.INR.LEND,lending_rate_pct,4.41658283333333,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2016,FR.INR.LEND,lending_rate_pct,4.46834552349908,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2015,FR.INR.LEND,lending_rate_pct,4.73187498877014,WorldBank_API_real_supplementary,2026-04-29
THA,Thailand,2014,FR.INR.LEND,lending_rate_pct,4.94915214812624,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2021,FR.INR.LEND,lending_rate_pct,3.25,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2020,FR.INR.LEND,lending_rate_pct,3.54416666666667,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2019,FR.INR.LEND,lending_rate_pct,5.2825,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2018,FR.INR.LEND,lending_rate_pct,4.90416666666667,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2017,FR.INR.LEND,lending_rate_pct,4.09666666666667,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2016,FR.INR.LEND,lending_rate_pct,3.51166666666667,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2015,FR.INR.LEND,lending_rate_pct,3.26,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2014,FR.INR.LEND,lending_rate_pct,3.25,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2023,FR.INR.LEND,lending_rate_pct,9.323,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2022,FR.INR.LEND,lending_rate_pct,8.01333333333333,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2021,FR.INR.LEND,lending_rate_pct,7.811,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2020,FR.INR.LEND,lending_rate_pct,7.6475,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2019,FR.INR.LEND,lending_rate_pct,7.7075,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2018,FR.INR.LEND,lending_rate_pct,7.371875,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2017,FR.INR.LEND,lending_rate_pct,7.0675,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2016,FR.INR.LEND,lending_rate_pct,6.96,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2015,FR.INR.LEND,lending_rate_pct,7.1175,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2014,FR.INR.LEND,lending_rate_pct,8.665,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2024,FR.INR.RINR,real_interest_rate_pct,5.09321925687914,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2023,FR.INR.RINR,real_interest_rate_pct,4.88038486696444,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2022,FR.INR.RINR,real_interest_rate_pct,2.36988583421333,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2021,FR.INR.RINR,real_interest_rate_pct,-0.118557234530241,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2020,FR.INR.RINR,real_interest_rate_pct,3.79985989492251,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2019,FR.INR.RINR,real_interest_rate_pct,2.99509285161556,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2018,FR.INR.RINR,real_interest_rate_pct,0.852537111572747,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2017,FR.INR.RINR,real_interest_rate_pct,0.19585733630837,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2016,FR.INR.RINR,real_interest_rate_pct,2.83073632160298,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2015,FR.INR.RINR,real_interest_rate_pct,4.20696426973205,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2014,FR.INR.RINR,real_interest_rate_pct,4.46024340812095,WorldBank_API_real_supplementary,2026-04-29
