state__ut_name,_2016_17___institutions,_2016_17___approved_intake,_2015_16___institutions,_2015_16___approved_intake,_2015_16___enrollment,_2015_16___vacancy_,_2014_15___institutions,_2014_15___approved_intake,_2014_15___enrollment,_2014_15___vacancy_,_2013_14___institutions,_2013_14___approved_intake,_2013_14___enrollment,_2013_14___vacancy_,source_dataset,_sl__no_,academic_year,number_of_government_engineering_institutes,approved_seats_in_government_engineering_institutes,data_source,retrieval_date
Rajasthan,303.0,117253.0,325.0,127632.0,80987.0,36.55,331.0,133926.0,82365.0,38.5,317.0,123899.0,65470.0,47.16,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Sikkim,4.0,1299.0,3.0,1299.0,705.0,45.73,3.0,1299.0,858.0,33.95,3.0,1179.0,922.0,21.8,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Tamil Nadu,1025.0,526042.0,1027.0,534870.0,277631.0,48.1,1009.0,538297.0,288268.0,46.45,998.0,515362.0,316767.0,38.54,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Telangana,377.0,231380.0,394.0,253632.0,124546.0,50.9,404.0,292302.0,144235.0,50.66,405.0,257352.0,145196.0,43.59,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Tripura,9.0,1712.0,9.0,1592.0,1151.0,27.71,7.0,1430.0,1089.0,23.85,4.0,770.0,634.0,17.67,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Uttar Pradesh,636.0,291195.0,594.0,289338.0,150835.0,47.87,578.0,289481.0,165966.0,42.67,563.0,270731.0,149670.0,44.72,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Uttarakhand,115.0,32467.0,99.0,32085.0,13934.0,56.58,97.0,32085.0,15177.0,52.7,98.0,31553.0,14525.0,53.97,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
West Bengal,215.0,79852.0,192.0,76716.0,43637.0,43.12,181.0,74840.0,45480.0,39.24,168.0,64646.0,44157.0,31.7,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
Grand Total,6466.0,2996157.0,6431.0,3093744.0,1596469.0,48.4,6379.0,3179781.0,1721604.0,45.86,6220.0,2952510.0,1782160.0,39.64,state_wise_engineering_2022_23,,,,,AICTE_API_Dashboard_Real,2026-04-26
,,,,,,,,,,,,,,,electronics_vlsi_specializations,1.0,2019-20,506.0,170177.0,AICTE_API_Dashboard_Real,2026-04-26
,,,,,,,,,,,,,,,electronics_vlsi_specializations,2.0,2020-21,522.0,173932.0,AICTE_API_Dashboard_Real,2026-04-26
,,,,,,,,,,,,,,,electronics_vlsi_specializations,3.0,2021-22,534.0,177553.0,AICTE_API_Dashboard_Real,2026-04-26
