country_iso3,country_name,year,cci,lending_rate_pct_z,corporate_tax_rate_pct_z,total_tax_rate_pct_z,electricity_kwh_per_capita_z
CHN,China,2015,0.35881083074863496,-0.09769302189613821,-0.5025840097752534,2.675911527381175,-0.6403911727152434
CHN,China,2016,0.3263036714494292,-0.09769302189613821,-0.5025840097752534,2.488038303088156,-0.5825465856190476
CHN,China,2017,0.27192457476242005,-0.09769302189613821,-0.5025840097752534,2.183021471272389,-0.4950461405513173
CHN,China,2018,0.20045452473172995,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.42390009040918775
CHN,China,2019,0.21620874193148593,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.3608832216101638
CHN,China,2020,0.22798619684454408,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.31377340195793124
CHN,China,2021,0.26641465288647054,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.16005957779022537
CHN,China,2022,0.28375309293649265,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,-0.09070581759013702
CHN,China,2023,0.310750147125755,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,0.01728239916691239
CHN,China,2024,0.310750147125755,-0.09769302189613821,-0.5025840097752534,1.8259952210074992,0.01728239916691239
DEU,Germany,2015,0.09710506791886969,-0.9642341413833404,0.6906705115969327,0.5113370313794079,0.15064687008247854
DEU,Germany,2016,0.07413703391951104,-1.0453924910698262,0.6906705115969327,0.5162753780696507,0.1349947370812869
DEU,Germany,2017,0.06222196387175011,-1.096835382012835,0.6906705115969327,0.5266439159530288,0.12840880994987378
DEU,Germany,2018,0.006380649540312838,-1.139012162164867,0.6099673072529198,0.4606455200897729,0.0939219329834256
DEU,Germany,2019,-0.013621512760314786,-1.173839957896469,0.6265827135438488,0.4606455200897729,0.03212567322158836
DEU,Germany,2020,-0.023131850055604614,-1.1559467784380313,0.6265827135438488,0.4606455200897729,-0.02380885541800883
DEU,Germany,2021,-0.012244609247416882,-1.1783132527610785,0.6359724160789832,0.4606455200897729,0.032716879602654764
DEU,Germany,2022,0.034930648231849215,-0.8948980709818938,0.6111202101721197,0.4606455200897729,-0.03714506635260194
DEU,Germany,2023,0.2701857889840238,0.11734465266687352,0.6367146549783639,0.4606455200897729,-0.1339616717989153
DEU,Germany,2024,0.30500340592340225,0.21415953437949217,0.6367146549783639,0.4606455200897729,-0.09150608575401982
IND,India,2015,0.8973212022717092,2.0718549874394334,1.7132954009274917,1.2778184016552134,-1.4736839809353017
IND,India,2016,0.8811151672556845,1.943087999551045,1.7132954009274917,1.331565376330566,-1.4634881077863644
IND,India,2017,0.7519252480076506,1.8801423503847536,1.7132954009274917,0.8676846462189723,-1.4534214055006152
IND,India,2018,0.6094943229356483,1.8593734813704978,1.8032218286251058,0.21502345957595967,-1.43964147782897
IND,India,2019,0.3235706690941489,1.8640065367659855,0.6503189094249262,0.21502345957595967,-1.4350662293902758
IND,India,2020,0.2875578654993607,1.7427482938288934,0.6503189094249262,0.21502345957595967,-1.4578592008323366
IND,India,2021,0.24832719467338965,1.569567878356155,0.6503189094249262,0.21502345957595967,-1.4416014686634824
IND,India,2022,0.24375223447895028,1.5192661340622835,0.6503189094249262,0.21502345957595967,-1.4095995651473683
IND,India,2023,0.2500685918751181,1.5192661340622835,0.6503189094249262,0.21502345957595967,-1.384334135562697
IND,India,2024,0.2500685918751181,1.5192661340622835,0.6503189094249262,0.21502345957595967,-1.384334135562697
JPN,Japan,2015,0.1816097247375078,-1.3274017801772775,1.1368439413274019,0.5105175970067932,0.4064791407931136
JPN,Japan,2016,0.011414539240805155,-1.3650094091461713,0.6434014919097248,0.3453276549341461,0.4219384192655208
JPN,Japan,2017,-0.002855960675749114,-1.3844682418072227,0.6434014919097248,0.2750166985285459,0.45462620866595566
JPN,Japan,2018,-0.02648045071277355,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.41983940297780914
JPN,Japan,2019,-0.03992543558423767,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.3660594634919527
JPN,Japan,2020,-0.0507995230178665,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.3225631137574373
JPN,Japan,2021,-0.03290879661631202,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.39412601936365527
