country,country_iso3,year,indicator,value,data_source,retrieval_date
United States,USA,2022,electricity_consumption_kwh_per_capita,12968.1628097364,WorldBank_electricity_API_real,2026-04-26
United States,USA,2021,electricity_consumption_kwh_per_capita,12556.0915792291,WorldBank_electricity_API_real,2026-04-26
United States,USA,2020,electricity_consumption_kwh_per_capita,12393.4382563461,WorldBank_electricity_API_real,2026-04-26
United States,USA,2019,electricity_consumption_kwh_per_capita,12678.2540503665,WorldBank_electricity_API_real,2026-04-26
United States,USA,2018,electricity_consumption_kwh_per_capita,13054.4045353944,WorldBank_electricity_API_real,2026-04-26
United States,USA,2017,electricity_consumption_kwh_per_capita,12604.1625559233,WorldBank_electricity_API_real,2026-04-26
United States,USA,2016,electricity_consumption_kwh_per_capita,12806.1977101885,WorldBank_electricity_API_real,2026-04-26
United States,USA,2015,electricity_consumption_kwh_per_capita,12828.8160828838,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2023,electricity_consumption_kwh_per_capita,2585.49409663119,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2022,electricity_consumption_kwh_per_capita,2624.40089303185,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2021,electricity_consumption_kwh_per_capita,2403.54540306818,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2020,electricity_consumption_kwh_per_capita,2303.70986644863,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2019,electricity_consumption_kwh_per_capita,2290.2681069016,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2018,electricity_consumption_kwh_per_capita,2115.35402394159,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2017,electricity_consumption_kwh_per_capita,1918.19498532718,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2016,electricity_consumption_kwh_per_capita,1788.72117786832,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2015,electricity_consumption_kwh_per_capita,1615.48958410788,WorldBank_electricity_API_real,2026-04-26
China,CHN,2023,electricity_from_coal_pct,61.3408061134072,WorldBank_electricity_API_real,2026-04-26
China,CHN,2022,electricity_from_coal_pct,61.7186608827991,WorldBank_electricity_API_real,2026-04-26
China,CHN,2021,electricity_from_coal_pct,63.0009520818053,WorldBank_electricity_API_real,2026-04-26
China,CHN,2020,electricity_from_coal_pct,63.4550187592194,WorldBank_electricity_API_real,2026-04-26
China,CHN,2019,electricity_from_coal_pct,64.9686795132476,WorldBank_electricity_API_real,2026-04-26
China,CHN,2018,electricity_from_coal_pct,66.5294477283065,WorldBank_electricity_API_real,2026-04-26
China,CHN,2017,electricity_from_coal_pct,68.0264961455224,WorldBank_electricity_API_real,2026-04-26
China,CHN,2016,electricity_from_coal_pct,68.4176909138594,WorldBank_electricity_API_real,2026-04-26
China,CHN,2015,electricity_from_coal_pct,70.188402071321,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2023,electricity_from_coal_pct,26.3522185820533,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2022,electricity_from_coal_pct,32.7317259378633,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2021,electricity_from_coal_pct,29.4980254690038,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2020,electricity_from_coal_pct,24.9710667255179,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2019,electricity_from_coal_pct,29.9558259201835,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2018,electricity_from_coal_pct,37.3124028054485,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2017,electricity_from_coal_pct,38.6743314829064,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2016,electricity_from_coal_pct,42.0011407504662,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2015,electricity_from_coal_pct,43.761539636192,WorldBank_electricity_API_real,2026-04-26
India,IND,2023,electricity_from_coal_pct,74.4262564073655,WorldBank_electricity_API_real,2026-04-26
India,IND,2022,electricity_from_coal_pct,71.739704380177,WorldBank_electricity_API_real,2026-04-26
India,IND,2021,electricity_from_coal_pct,71.4858907657204,WorldBank_electricity_API_real,2026-04-26
India,IND,2020,electricity_from_coal_pct,71.3633580245628,WorldBank_electricity_API_real,2026-04-26
India,IND,2019,electricity_from_coal_pct,72.8626165369332,WorldBank_electricity_API_real,2026-04-26
India,IND,2018,electricity_from_coal_pct,74.9944368680873,WorldBank_electricity_API_real,2026-04-26
India,IND,2017,electricity_from_coal_pct,74.8600089000964,WorldBank_electricity_API_real,2026-04-26
India,IND,2016,electricity_from_coal_pct,75.4844932161528,WorldBank_electricity_API_real,2026-04-26
India,IND,2015,electricity_from_coal_pct,76.0124264133462,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2023,electricity_from_coal_pct,28.3087384605564,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2022,electricity_from_coal_pct,30.2823385370043,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2021,electricity_from_coal_pct,30.6095541850287,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2020,electricity_from_coal_pct,30.5727898983641,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2019,electricity_from_coal_pct,31.4513807244531,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2018,electricity_from_coal_pct,31.1481878980742,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2017,electricity_from_coal_pct,32.2833487103225,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2016,electricity_from_coal_pct,32.2460272165904,WorldBank_electricity_API_real,2026-04-26
Japan,JPN,2015,electricity_from_coal_pct,33.3652618135377,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2023,electricity_from_coal_pct,33.6310864029737,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2022,electricity_from_coal_pct,34.7264030316269,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2021,electricity_from_coal_pct,35.407072795039,WorldBank_electricity_API_real,2026-04-26
