year_month,year,month,iip_div26_index,iip_div26_growth_pct,data_source,retrieval_date,notes
2019-08,2019,August,164.9,-2.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2019-09,2019,September,162.8,-10.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2019-10,2019,October,136.0,-31.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2019-11,2019,November,135.7,-7.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2019-12,2019,December,114.3,-25.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-01,2020,January,158.3,-0.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-02,2020,February,137.7,-8.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-03,2020,March,100.6,-43.5,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-04,2020,April,12.6,-92.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-05,2020,May,64.5,-68.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-06,2020,June,114.8,-23.8,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-07,2020,July,144.9,-19.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-08,2020,August,146.3,-11.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-09,2020,September,167.2,2.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-10,2020,October,151.1,11.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-11,2020,November,115.0,-15.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2020-12,2020,December,138.8,21.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2021-01,2021,January,155.6,-1.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
