country_iso3,country_name,year,indicator_code,indicator,corporate_tax_rate_pct,carry_forward,carry_forward_from,source_tier,period_granularity,synopsis_aligned,source_priority,data_source,retrieval_date
JPN,Japan,2015,TF_CIT_long_csv,corporate_tax_rate_pct,32.11,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2016,TF_CIT_long_csv,corporate_tax_rate_pct,29.97,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2017,TF_CIT_long_csv,corporate_tax_rate_pct,29.97,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2018,TF_CIT_long_csv,corporate_tax_rate_pct,29.74,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2019,TF_CIT_long_csv,corporate_tax_rate_pct,29.74,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2020,TF_CIT_long_csv,corporate_tax_rate_pct,29.74,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2021,TF_CIT_long_csv,corporate_tax_rate_pct,29.74,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2022,TF_CIT_long_csv,corporate_tax_rate_pct,29.74,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2023,TF_CIT_long_csv,corporate_tax_rate_pct,29.74,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
JPN,Japan,2024,TF_CIT_carry_fwd_from_latest,corporate_tax_rate_pct,29.74,True,2023.0,TaxFoundation_carry_forward,annual,True,P3,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
KOR,South Korea,2015,TF_CIT_long_csv,corporate_tax_rate_pct,24.2,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
KOR,South Korea,2016,TF_CIT_long_csv,corporate_tax_rate_pct,24.2,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
KOR,South Korea,2017,TF_CIT_long_csv,corporate_tax_rate_pct,24.2,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
KOR,South Korea,2018,TF_CIT_long_csv,corporate_tax_rate_pct,27.5,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
KOR,South Korea,2019,TF_CIT_long_csv,corporate_tax_rate_pct,27.5,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
KOR,South Korea,2020,TF_CIT_long_csv,corporate_tax_rate_pct,27.5,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
