year_month,fy,year,month,hs_code,segment,flow,total_trade_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date
2018-02,2017-18,2018,2,8541,Devices,Export,14.87,1972.4,40.82,60.39,46,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-02,2017-18,2018,2,8542,ICs,Export,10.46,2678.3,47.99,70.08,32,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,3818,Raw_Materials,Export,0.03,5555.6,66.67,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,8486,Equipment,Export,0.81,3010.2,49.38,79.01,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,8541,Devices,Export,9.09,840.4,19.14,43.34,50,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-03,2017-18,2018,3,8542,ICs,Export,17.47,4143.3,63.08,77.28,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,3818,Raw_Materials,Export,0.06,7222.2,83.33,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,8486,Equipment,Export,0.87,1652.8,31.03,60.92,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,8541,Devices,Export,8.33,1247.7,30.37,50.42,43,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-04,2018-19,2018,4,8542,ICs,Export,13.59,4951.4,69.54,83.08,29,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,3818,Raw_Materials,Export,0.47,9583.5,97.87,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,8486,Equipment,Export,0.87,2353.0,40.23,75.86,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,8541,Devices,Export,11.7,2630.3,49.32,64.36,43,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-05,2018-19,2018,5,8542,ICs,Export,12.78,4840.9,68.78,81.77,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-06,2018-19,2018,6,8486,Equipment,Export,1.15,2163.3,32.17,76.52,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-06,2018-19,2018,6,8541,Devices,Export,10.31,1767.4,37.25,59.75,49,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-06,2018-19,2018,6,8542,ICs,Export,11.35,3447.8,57.71,67.4,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,3818,Raw_Materials,Export,0.03,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,8486,Equipment,Export,0.5,2112.0,34.0,74.0,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,8541,Devices,Export,19.89,4470.1,66.16,77.43,47,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-07,2018-19,2018,7,8542,ICs,Export,24.05,2086.6,28.48,77.8,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-08,2018-19,2018,8,3818,Raw_Materials,Export,2.46,9759.1,98.78,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-08,2018-19,2018,8,8486,Equipment,Export,0.58,2009.5,27.59,74.14,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-08,2018-19,2018,8,8541,Devices,Export,26.89,2318.6,43.36,69.77,48,DGFT_TRADESTAT_MEIDB_real,2026-05-09
