country_iso3,country_name,year,enrollment_ratio,indicator,indicator_name,source_authority,period_granularity,synopsis_aligned,source_priority,data_source,retrieval_date
MYS,Malaysia,2018,43.31,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2019,40.808,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2020,39.745,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2021,38.19,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2022,36.985,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2023,37.275,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
MYS,Malaysia,2024,38.501,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2015,29.725,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2016,29.081,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2017,25.953,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2019,30.224,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2021,41.955,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2022,44.754,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2023,32.842,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
VNM,Vietnam,2024,37.592,SE.TER.ENRR,"School enrollment, tertiary (% gross)",World Bank Open Data + UNESCO UIS,annual,True,P1,WorldBank_API_SE_TER_ENRR,2026-05-09
